Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
iPad,iOS,120000000,"iPads (all)",1500000,1.96,1.92,2.01,,
iPhone,iOS,550000000,"iPhones (all)",11000000,5.31,5.24,5.66,,
iPod,iOS,6500000,"iPods (all)",25000,5.46,5.46,5.46,,
ipad,iOS,1000,"Apple iPad",1500000,1.96,1.92,2.01,,
"ipad 1",iOS,250000,"Apple iPad 1",1200,1.77,1.34,2.41,,
"ipad 2",iOS,11000000,"Apple iPad 2",140000,2.52,2.21,3.04,,
"ipad 3rd gen",iOS,7100000,"Apple iPad 3rd gen",150000,2.74,2.3,3.42,,
"ipad 4th gen",iOS,11000000,"Apple iPad 4th gen",250000,2.8,2.45,3.35,,
"ipad 5th gen",iOS,11000000,"Apple iPad 5th Gen",81000,3.56,3.1,4.2,,
"ipad air",iOS,16000000,"Apple iPad Air",240000,2.58,2.16,3.2,,
"ipad air 2",iOS,18000000,"Apple iPad Air 2",130000,3.23,2.6,4.26,,
"ipad mini",iOS,13000000,"Apple iPad mini",210000,2,1.75,2.44,,
"ipad mini 2",iOS,13000000,"Apple iPad mini 2",160000,2.35,2.06,2.77,,
"ipad mini 3",iOS,2100000,"Apple iPad mini 3",35000,3.02,2.61,3.67,,
"ipad mini 4",iOS,5300000,"Apple iPad mini 4",50000,2.59,2,3.5,,
"ipad pro",iOS,6300000,"Apple iPad Pro",52000,2.4,2.02,2.96,,
"ipad pro 2nd gen",iOS,3900000,"Apple iPad Pro 2nd Gen",38000,3.83,3.08,4.97,,
iphone,iOS,31000000,"Apple iPhone",11000000,5.31,5.24,5.66,,
"iphone 3gs",iOS,84000,"Apple iPhone 3GS",1500,1.67,1.56,1.9,,
"iphone 4",iOS,5900000,"Apple iPhone 4",130000,1.83,1.79,1.98,,
"iphone 4s",iOS,13000000,"Apple iPhone 4s",500000,2.47,2.47,2.47,,
"iphone 5",iOS,27000000,"Apple iPhone 5",800000,3.05,2.8,3.51,,
"iphone 5c",iOS,11000000,"Apple iPhone 5c",150000,2.09,2.09,2.17,,
"iphone 5s",iOS,66000000,"Apple iPhone 5s",3000000,3.64,3.64,3.64,,
"iphone 6",iOS,110000000,"Apple iPhone 6",2500000,3.05,2.83,3.35,,
"iphone 6 plus",iOS,28000000,"Apple iPhone 6 Plus",350000,3.61,3.45,4.19,,
"iphone 6s",iOS,88000000,"Apple iPhone 6s",1600000,4.93,4.46,5.48,,
"iphone 6s plus",iOS,30000000,"Apple iPhone 6s Plus",200000,2.7,2.23,3.43,,
"iphone 7",iOS,93000000,"Apple iPhone 7",1800000,3.61,3.32,4.01,,
"iphone 7 plus",iOS,56000000,"Apple iPhone 7 Plus",740000,4.52,4.27,4.98,,
"iphone 8",iOS,30000000,"Apple iPhone 8",390000,4.47,3.83,5.55,,
"iphone 8 plus",iOS,28000000,"Apple iPhone 8 Plus",350000,3.67,3.59,3.9,,
"iphone se",iOS,34000000,"Apple iPhone SE",1200000,3.2,3.13,3.35,,
"iphone x",iOS,32000000,"Apple iPhone X",470000,3.51,3.2,4,,
"ipod touch 1st generation",iOS,1000,"Apple iPod Touch 1st Generation",1000,0,0,0,,
"ipod touch 2nd generation",iOS,1000,"Apple iPod Touch 2nd Generation",1000,0,0,0,,
"ipod touch 3rd generation",iOS,10000,"Apple iPod Touch 3rd Generation",1000,0,0,0,,
"ipod touch 4th generation",iOS,240000,"Apple iPod Touch 4th Generation",1600,1.7,1.7,1.7,,
"ipod touch 5th generation",iOS,2300000,"Apple iPod Touch 5th Generation",17000,2.45,2.45,2.45,,
"ipod touch 6th generation",iOS,3600000,"Apple iPod Touch 6th Generation",6300,3.48,3.2,3.98,,
530,Windows,1000,"Philips 530",1000,0,0,0,,
"lumia 520",Windows,31000,"Nokia Lumia 520",1000,0,0,0,,
"lumia 535",Windows,32000,"Microsoft Lumia 535",1000,0,0,0,,
"lumia 630",Windows,15000,"Nokia Lumia 630",1000,0,0,0,,
"lumia 635",Windows,6900,"Nokia Lumia 635",1000,0,0,0,,
"lumia 640 lte",Windows,2700,"Nokia Lumia 640 LTE",1000,0,0,0,,
"lumia 920",Windows,1500,"Nokia Lumia 920",1000,0,0,0,,
microsoft,Windows,100000,"Microsoft Devices",1000,0,0,0,,
nokia,Windows,15000000,"Nokia Devices",280000,1.92,1.92,1.92,,
philips,Windows,1200000,"Philips Devices",150000,4.15,4.12,4.32,,
Android_Smartphone,Android,2100000000,"Android Smartphones (all)",19000000,2.27,2.27,2.27,,
Android_Tablet,Android,160000000,"Android Tablets (all)",2500000,3.24,3.24,3.24,,
10,Android,920000,"Htc 10",9300,3.19,2.87,3.72,,
1201,Android,4800,"Oppo 1201",1000,0,0,0,,
1603,Android,13000,"Vivo 1603",1000,0,0,0,,
2,Android,2500000,"Nokia 2",22000,2.88,2.88,3,,
3,Android,6100000,"Nokia 3",89000,4.65,4.65,4.65,,
5,Android,3600000,"Nokia 5",110000,3.06,2.67,3.71,,
5060,Android,1400000,"Advan 5060",1000,0,0,0,,
5t,Android,1300000,"Oneplus 5T",15000,3.31,2.83,4.21,,
6,Android,2100000,"Nokia 6",54000,2.93,2.69,3.32,,
a1000,Android,5100000,"Lenovo A1000",81000,1.93,1.93,1.93,,
a2010,Android,3600000,"Lenovo A2010",130000,2.45,2.45,2.45,,
a369i,Android,1100000,"Lenovo A369i",7500,2.86,2.86,2.86,,
a37,Android,40000000,"Oppo A37",2500,2.51,1.88,3.44,,
a39,Android,2300000,"Oppo A39",1000,1.9,1.46,2.52,,
a5000,Android,1100000,"Lenovo A5000",62000,4.74,4.74,4.74,,
a536,Android,1700000,"Lenovo A536",140000,2.92,2.92,2.92,,
a57,Android,8300000,"Oppo A57",1000,2.24,1.77,2.86,,
a6000,Android,4400000,"Lenovo A6000",13000,3.75,3.75,3.75,,
a6010,Android,1200000,"Lenovo A6010",72000,2.84,2.84,2.84,,
a6600,Android,1100000,"Lenovo A6600",1000,0,0,0,,
a7000,Android,2200000,"Lenovo A7000",5200,2.26,2.17,2.47,,
a71,Android,3800000,"Oppo A71",1000,0,0,0,,
"a71 (2018)",Android,2800000,"Oppo A71 (2018)",1000,0,0,0,,
a83,Android,2400000,"Oppo A83",2400,3.36,3.2,3.73,,
advan,Android,14000000,"Advan Devices",1300,2.76,2.42,3.26,,
alcatel,Android,45000000,"Alcatel Devices",630000,2.96,2.96,2.96,,
"allure a8",Android,1100000,"Condor Allure A8",1000,1.94,1.66,2.34,,
amazon,Android,7100000,"Amazon Devices",1200,2.28,1.93,2.8,,
"andromax a",Android,1000,"Smartfren Andromax A",1000,0,0,0,,
"andromax es",Android,110000,"Smartfren Andromax Es",1000,0,0,0,,
"aquos crystal",Android,160000,"Sharp Aquos Crystal",1000,0,0,0,,
"aquos crystal x",Android,58000,"Sharp Aquos Crystal X",1000,0,0,0,,
"aquos ever",Android,200000,"Sharp Aquos Ever",1000,0,0,0,,
"aquos phone serie shl22",Android,46000,"Sharp Aquos Phone Serie SHL22",1000,0,0,0,,
"aquos phone serie shl23",Android,100000,"Sharp Aquos Phone Serie SHL23",1000,0,0,0,,
"aquos phone xx mini",Android,120000,"Sharp Aquos Phone Xx mini",1000,0,0,0,,
"aquos phone zeta sh-02e",Android,36000,"Sharp Aquos Phone Zeta SH-02E",1000,0,0,0,,
"aquos xx",Android,160000,"Sharp Aquos Xx",1000,0,0,0,,
aristo,Android,3900000,"Lg Aristo",1000,2.59,2.35,3.02,,
"aristo 2",Android,1000,"Lg Aristo 2",1000,0,0,0,,
"ascend g610",Android,660000,"Huawei Ascend G610",2300,3.75,3.75,4.16,,
"ascend g620s",Android,560000,"Huawei Ascend G620S",1800,3.73,3.31,4.64,,
"ascend g7",Android,1300000,"Huawei Ascend G7",1500,3.86,3.86,4.01,,
"ascend g730",Android,1000000,"Huawei Ascend G730",1000,0,0,0,,
"ascend p7",Android,990000,"Huawei Ascend P7",6300,3.05,2.76,3.54,,
"ascend y221",Android,1400000,"Huawei Ascend Y221",1000,3.3,3.05,3.78,,
"ascend y330",Android,2100000,"Huawei Ascend Y330",1000,3.49,3.49,3.64,,
"ascend y336",Android,3000000,"Huawei Ascend Y336",10000,1.86,1.79,2.01,,
"ascend y360",Android,1800000,"Huawei Ascend Y360",1000,0,0,0,,
"ascend y520",Android,1600000,"Huawei Ascend Y520",1000,2.72,2.52,2.99,,
"ascend y530",Android,1200000,"Huawei Ascend Y530",1000,0,0,0,,
"ascend y550",Android,1000,"Huawei Ascend Y550",1100,1.77,1.62,1.97,,
"ascend y560",Android,2000000,"Huawei Ascend Y560",1400,0,0,0,,
"ascend y600",Android,670000,"Huawei Ascend Y600",1500,3.35,3.33,3.56,,
"ascend y625",Android,2000000,"Huawei Ascend Y625",1100,0,0,0,,
"ascend y635",Android,2200000,"Huawei Ascend Y635",2000,0,0,0,,
asus,Android,49000000,"Asus Devices",1300000,2.41,2.41,2.56,,
blackberry,Android,2100000,"Blackberry Devices",8100,2.8,2.41,3.39,,
"blade l2",Android,380000,"Zte Blade L2",2900,2.24,2.21,2.39,,
"blade l5",Android,880000,"Zte Blade L5",1300,2.92,2.92,2.92,,
"blade z max",Android,2000000,"Zte Blade Z Max",1000,0,0,0,,
"camon c8",Android,1200000,"Tecno Camon C8",1000,0,0,0,,
condor,Android,1000,"Condor Devices",1300,2.19,1.84,2.7,,
"desire 510",Android,450000,"Htc Desire 510",3600,3.08,3.08,3.08,,
"desire 526g",Android,960000,"Htc Desire 526G",54000,3.7,3.7,3.77,,
"desire 530",Android,1400000,"Htc Desire 530",6300,3.09,2.95,3.31,,
"desire 620g",Android,1000000,"Htc Desire 620G",53000,4.27,4.17,4.72,,
"desire 626",Android,1100000,"Htc Desire 626",8800,2.07,1.92,2.31,,
"desire 626s",Android,1200000,"Htc Desire 626S",1000,2.2,2.2,2.2,,
"desire 728",Android,1200000,"Htc Desire 728",3400,2.34,2.13,2.68,,
"desire 816",Android,800000,"Htc Desire 816",11000,3.48,3.04,4.3,,
"desire 820",Android,850000,"Htc Desire 820",2100,3.18,2.94,3.62,,
"desire 820g+",Android,1200000,"Htc Desire 820G+",1000,2.02,1.61,2.59,,
docomo,Android,6000000,"Docomo Devices",1000,4.26,3.84,4.88,,
"droid maxx",Android,960000,"Motorola Droid Maxx",1000,4,3.81,4.41,,
"droid mini",Android,240000,"Motorola Droid Mini",1000,0,0,0,,
"droid razr",Android,130000,"Motorola Droid Razr",1000,0,0,0,,
"droid razr 4g",Android,1000,"Motorola Droid Razr 4G",1000,0,0,0,,
"droid razr hd",Android,84000,"Motorola Droid Razr HD",1000,0,0,0,,
"droid razr m",Android,1000,"Motorola Droid Razr M",1000,0,0,0,,
"droid turbo",Android,1200000,"Motorola Droid Turbo",2500,0,0,0,,
"droid turbo 2",Android,1100000,"Motorola Droid Turbo 2",1000,3.18,3.18,3.28,,
f1,Android,1000,"Oppo F1",1000,2.25,1.9,2.91,,
"f1 plus",Android,1300000,"Oppo F1 Plus",1000,2.23,1.74,3.03,,
"f103 pro",Android,1300000,"Gionee F103 Pro",1000,0,0,0,,
f1s,Android,13000000,"Oppo F1s",2000,2.07,1.61,2.79,,
f3,Android,5000000,"Oppo F3",1000,2.24,1.71,3.11,,
"f3 plus",Android,1100000,"Oppo F3 Plus",1000,2.43,1.87,3.36,,
f5,Android,5800000,"Oppo F5",6900,4,3.69,4.62,,
"f5 youth",Android,1800000,"Oppo F5 Youth",3400,0,0,0,,
fire,Android,1800000,"Amazon Fire",1000,0,0,0,,
"fire hd 8 (2017)",Android,1100000,"Amazon Fire HD 8 (2017)",1000,2.73,2.26,3.43,,
fortune,Android,1000,"Lg Fortune",1500,3.01,2.86,3.18,,
"g play mini",Android,1400000,"Huawei G Play Mini",1000,2.49,2.08,3.19,,
"g pro lite",Android,1100000,"Lg G Pro Lite",7000,4.7,4.7,5.02,,
"g stylo",Android,1400000,"Lg G Stylo",3300,3.24,3.24,3.36,,
g2,Android,1800000,"Lg G2",15000,4.43,4.43,4.43,,
"g2 mini",Android,820000,"Lg G2 Mini",12000,2.57,2.57,2.61,,
g3,Android,4400000,"Lg G3",35000,2.63,2.62,2.87,,
"g3 a",Android,30000,"Lg G3 A",1000,0,0,0,,
"g3 beat",Android,110000,"Lg G3 Beat",1000,5.82,5.81,6.14,,
"g3 mini",Android,1000,"Lg G3 Mini",1000,0,0,0,,
"g3 prime",Android,100000,"Lg G3 Prime",1000,0,0,0,,
"g3 s",Android,710000,"Lg G3 S",5500,2.01,1.95,2.21,,
"g3 stylus",Android,2300000,"Lg G3 Stylus",7600,2.64,2.57,3.04,,
"g3 vigor",Android,78000,"Lg G3 Vigor",1000,0,0,0,,
g4,Android,3900000,"Lg G4",18000,3.32,3.18,3.75,,
"g4 beat",Android,790000,"Lg G4 Beat",14000,2.63,2.59,2.77,,
"g4 stylus",Android,1800000,"Lg G4 Stylus",2600,2.55,2.28,2.94,,
g4c,Android,900000,"Lg G4c",26000,2.18,2.18,2.18,,
g5,Android,3700000,"Lg G5",15000,3.37,3.25,3.7,,
g6,Android,3200000,"Lg G6",13000,2.91,2.48,3.71,,
g8,Android,1600000,"Huawei G8",2900,3.05,2.85,3.42,,
"galaxy a3",Android,7000000,"Samsung Galaxy A3",310000,3.7,3.38,4.26,,
"galaxy a3 (2016)",Android,9700000,"Samsung Galaxy A3 (2016)",450000,2.45,2.26,2.66,,
"galaxy a3 (2017)",Android,1000,"Samsung Galaxy A3 (2017)",220000,4.45,4.25,4.8,,
"galaxy a5",Android,11000000,"Samsung Galaxy A5",250000,3.69,3.49,4.18,,
"galaxy a5 (2016)",Android,13000000,"Samsung Galaxy A5 (2016)",490000,3.16,3.16,3.25,,
"galaxy a5 (2017)",Android,17000000,"Samsung Galaxy A5 (2017)",620000,2.85,2.69,3.25,,
"galaxy a7",Android,2500000,"Samsung Galaxy A7",45000,2.51,2.31,2.93,,
"galaxy a7 (2016)",Android,4600000,"Samsung Galaxy A7 (2016)",64000,3.64,3.5,4,,
"galaxy a7 (2017)",Android,5300000,"Samsung Galaxy A7 (2017)",140000,2.56,2.46,2.74,,
"galaxy a8",Android,2000000,"Samsung Galaxy A8",1700,3.81,3.29,4.47,,
"galaxy a8 (2018)",Android,1700000,"Samsung Galaxy A8 (2018)",37000,4.25,3.69,5.14,,
"galaxy a9 pro (2016)",Android,1300000,"Samsung Galaxy A9 Pro (2016)",1900,2.93,2.47,3.63,,
"galaxy ace",Android,2200000,"Samsung Galaxy Ace",3200,1.73,1.41,2.2,,
"galaxy ace 2",Android,900000,"Samsung Galaxy Ace 2",6600,2.67,2.44,2.96,,
"galaxy ace 3",Android,2100000,"Samsung Galaxy Ace 3",13000,3.68,3.68,3.68,,
"galaxy ace 4",Android,550000,"Samsung Galaxy Ace 4",1000,2.16,2.16,2.16,,
"galaxy ace 4 duos",Android,670000,"Samsung Galaxy Ace 4 Duos",1000,0,0,0,,
"galaxy ace 4 lite duos",Android,430000,"Samsung Galaxy Ace 4 Lite Duos",1000,0,0,0,,
"galaxy ace 4 neo",Android,1000,"Samsung Galaxy Ace 4 Neo",1000,0,0,0,,
"galaxy ace duos",Android,190000,"Samsung Galaxy Ace Duos",1000,2.67,2.51,2.9,,
"galaxy ace nxt",Android,730000,"Samsung Galaxy Ace NXT",15000,2.82,2.82,2.83,,
"galaxy ace plus",Android,310000,"Samsung Galaxy Ace Plus",1000,2.15,1.94,2.44,,
"galaxy ace style",Android,2300000,"Samsung Galaxy Ace Style",4600,2.27,2.27,2.3,,
"galaxy alpha",Android,1500000,"Samsung Galaxy Alpha",43000,3.5,3.09,4.04,,
"galaxy avant",Android,650000,"Samsung Galaxy Avant",1000,0,0,0,,
"galaxy c7 pro",Android,1800000,"Samsung Galaxy C7 Pro",1000,3.29,2.6,4.5,,
"galaxy c9 pro",Android,1600000,"Samsung Galaxy C9 Pro",1100,2.65,2.04,3.7,,
"galaxy centura",Android,23000,"Samsung Galaxy Centura",1000,0,0,0,,
"galaxy chat",Android,620000,"Samsung Galaxy Chat",1000,0,0,0,,
"galaxy core",Android,4400000,"Samsung Galaxy Core",27000,2.57,2.39,2.84,,
"galaxy core 2",Android,7400000,"Samsung Galaxy Core 2",110000,3.09,3.09,3.09,,
"galaxy core 2 duos",Android,3900000,"Samsung Galaxy Core 2 Duos",1000,0,0,0,,
"galaxy core plus",Android,1700000,"Samsung Galaxy Core Plus",1000,0,0,0,,
"galaxy core prime",Android,9700000,"Samsung Galaxy Core Prime",51000,2.22,1.99,2.54,,
"galaxy core prime duos",Android,4800000,"Samsung Galaxy Core Prime Duos",35000,2.24,2.12,2.46,,
"galaxy e5",Android,2700000,"Samsung Galaxy E5",14000,2.88,2.76,3.08,,
"galaxy e7",Android,2100000,"Samsung Galaxy E7",1300,2.38,1.88,3.11,,
"galaxy exhibit",Android,190000,"Samsung Galaxy Exhibit",1000,0,0,0,,
"galaxy fame",Android,1600000,"Samsung Galaxy Fame",1000,1.54,1.54,1.56,,
"galaxy fame lite",Android,710000,"Samsung Galaxy Fame Lite",1000,3.91,3.91,3.91,,
"galaxy fame lite duos",Android,110000,"Samsung Galaxy Fame Lite Duos",1000,0,0,0,,
"galaxy gran neo duos",Android,760000,"Samsung Galaxy Gran Neo Duos",1000,0,0,0,,
"galaxy grand",Android,5900000,"Samsung Galaxy Grand",28000,3.61,3.61,3.71,,
"galaxy grand 2",Android,8200000,"Samsung Galaxy Grand 2",42000,3.54,3.08,4.36,,
"galaxy grand 2 duos",Android,350000,"Samsung Galaxy Grand 2 Duos",1000,0,0,0,,
"galaxy grand max",Android,1100000,"Samsung Galaxy Grand Max",1200,2.26,2.05,2.56,,
"galaxy grand neo",Android,19000000,"Samsung Galaxy Grand Neo",30000,2.36,2.15,2.67,,
"galaxy grand prime",Android,51000000,"Samsung Galaxy Grand Prime",420000,2,2,2,,
"galaxy grand prime plus",Android,17000000,"Samsung Galaxy Grand Prime Plus",440000,2.38,2.38,2.38,,
"galaxy grand quattro",Android,2300000,"Samsung Galaxy Grand Quattro",46000,2.06,2.06,2.06,,
"galaxy j1",Android,14000000,"Samsung Galaxy J1",52000,2.04,2.04,2.04,,
"galaxy j1 (2016)",Android,23000000,"Samsung Galaxy J1 (2016)",650000,2.56,2.32,2.88,,
"galaxy j1 ace",Android,34000000,"Samsung Galaxy J1 Ace",18000,4.99,4.57,5.66,,
"galaxy j1 mini",Android,13000000,"Samsung Galaxy J1 Mini",260000,2.33,2.33,2.33,,
"galaxy j1 mini prime",Android,8200000,"Samsung Galaxy J1 Mini Prime",70000,2.54,2.36,2.82,,
"galaxy j2",Android,50000000,"Samsung Galaxy J2",27000,2.61,2.44,2.85,,
"galaxy j2 (2016)",Android,10000000,"Samsung Galaxy J2 (2016)",1000,2.51,2.05,3.18,,
"galaxy j2 (2018)",Android,3100000,"Samsung Galaxy J2 (2018)",37000,3.05,2.92,3.32,,
"galaxy j2 prime",Android,54000000,"Samsung Galaxy J2 Prime",2100,2.09,1.72,2.59,,
"galaxy j3",Android,17000000,"Samsung Galaxy J3",24000,2.48,2.18,2.95,,
"galaxy j3 (2016)",Android,23000000,"Samsung Galaxy J3 (2016)",660000,2.9,2.79,3.22,,
"galaxy j3 (2017)",Android,7400000,"Samsung Galaxy J3 (2017)",270000,3.95,3.95,3.95,,
"galaxy j3 emerge",Android,2900000,"Samsung Galaxy J3 Emerge",1000,0,0,0,,
"galaxy j3 luna pro",Android,1000,"Samsung Galaxy J3 Luna Pro",1000,0,0,0,,
"galaxy j3 prime",Android,16000,"Samsung Galaxy J3 Prime",1000,0,0,0,,
"galaxy j3 prime (2017)",Android,3500000,"Samsung Galaxy J3 Prime (2017)",1000,3.35,2.89,4.13,,
"galaxy j3 pro",Android,4100000,"Samsung Galaxy J3 Pro",3000,3.67,3.4,4.12,,
"galaxy j5",Android,45000000,"Samsung Galaxy J5",38000,2.94,2.94,2.94,,
"galaxy j5 (2016)",Android,28000000,"Samsung Galaxy J5 (2016)",480000,3.78,3.61,4.35,,
"galaxy j5 (2017)",Android,10000000,"Samsung Galaxy J5 (2017)",180000,2.84,2.79,3.04,,
"galaxy j5 prime",Android,20000000,"Samsung Galaxy J5 Prime",200000,2.52,2.52,2.52,,
"galaxy j7",Android,44000000,"Samsung Galaxy J7",19000,2.26,1.92,2.78,,
"galaxy j7 (2016)",Android,29000000,"Samsung Galaxy J7 (2016)",300000,2.61,2.45,2.87,,
"galaxy j7 (2017)",Android,10000000,"Samsung Galaxy J7 (2017)",190000,3.19,2.85,3.66,,
"galaxy j7 core",Android,1800000,"Samsung Galaxy J7 Core",1000,0,0,0,,
"galaxy j7 max",Android,4600000,"Samsung Galaxy J7 Max",1000,2.21,1.58,3.27,,
"galaxy j7 neo",Android,3100000,"Samsung Galaxy J7 Neo",1000,2.38,2.38,2.38,,
"galaxy j7 nxt",Android,13000000,"Samsung Galaxy J7 Nxt",79000,3.16,2.86,3.65,,
"galaxy j7 prime",Android,49000000,"Samsung Galaxy J7 Prime",7400,2.23,1.75,2.93,,
"galaxy j7 pro",Android,10000000,"Samsung Galaxy J7 Pro",1900,2.31,1.81,3.03,,
