Name,Platform,AudienceSize,Description,AudienceSize_RU_All,BidSuggest_RU_All,BidMin_RU_All,BidMax_RU_All,DailyReachMin_RU_All,DailyReachMax_RU_All
"note 2",Android,950000,"Infinix Note 2",1000,0,0,0,,
"note 3 neo duos",Android,1000,"Samsung Note 3 Neo Duos",1000,0,0,0,,
"note 4",Android,1000,"Infinix Note 4",1000,0,0,0,,
"nova 2i",Android,1700000,"Huawei Nova 2i",1000,2.81,2.21,3.82,,
"nova lite",Android,9900000,"Huawei Nova Lite",9700,2.37,2.22,2.62,,
"nova young",Android,1100000,"Huawei Nova Young",1000,2.89,2.55,3.44,,
nyx,Android,910000,"Nyx Devices",1000,2.05,2.04,2.19,,
"one (e8)",Android,210000,"Htc One (E8)",5000,2.58,2.42,2.84,,
"one (m7)",Android,2300000,"Htc One (M7)",60000,2.53,2.53,2.72,,
"one (m8)",Android,3400000,"Htc One (M8)",72000,2.34,2.29,2.48,,
"one e9+",Android,1000,"Htc One E9+",6400,3.05,3.05,3.21,,
"one m9",Android,1200000,"Htc One M9",11000,4.34,4.32,4.54,,
"one m9+",Android,260000,"Htc One M9+",2600,3.01,2.97,3.15,,
"one max",Android,170000,"Htc One Max",2600,1.89,1.86,1.97,,
"one mini",Android,340000,"Htc One Mini",16000,3.32,2.95,3.91,,
"one mini 2",Android,18000,"Htc One Mini 2",1000,0,0,0,,
"one sv",Android,46000,"Htc One SV",1000,0,0,0,,
"one touch pixi 3",Android,1000,"Alcatel One Touch Pixi 3",23000,1.98,1.98,1.98,,
"one touch pixi 3 (3.5)",Android,1000000,"Alcatel One Touch Pixi 3 (3.5)",20000,3.03,3.03,3.11,,
"one touch pixi 3 (4.5)",Android,930000,"Alcatel One Touch Pixi 3 (4.5)",52000,2.42,2.42,2.42,,
"one touch pixi 4 (4)",Android,2200000,"Alcatel One Touch Pixi 4 (4)",21000,3.36,3.36,3.36,,
"one touch pixi 4 (5)",Android,3900000,"Alcatel One Touch Pixi 4 (5)",94000,0,0,0,,
"one touch pixi 4 (5.0)",Android,1400000,"Alcatel One Touch Pixi 4 (5.0)",1000,0,0,0,,
"one touch pixi 4 (6)",Android,2000000,"Alcatel One Touch Pixi 4 (6)",7000,2.76,2.74,2.99,,
"one touch pop 3 (5)",Android,1600000,"Alcatel One Touch Pop 3 (5)",43000,2.47,2.47,2.47,,
"one touch pop 3 (5.5)",Android,920000,"Alcatel One Touch Pop 3 (5.5)",31000,2.97,2.84,3.23,,
"one touch pop c1",Android,1800000,"Alcatel One Touch Pop C1",1000,2.59,2.58,2.74,,
"one touch pop c3",Android,830000,"Alcatel One Touch Pop C3",2300,0,0,0,,
"one touch pop c5",Android,940000,"Alcatel One Touch Pop C5",20000,2.01,2.01,2.13,,
"one touch pop c7",Android,1300000,"Alcatel One Touch Pop C7",22000,2.64,2.64,2.64,,
"one x",Android,210000,"Htc One X",6500,3.38,3.38,3.38,,
"one x+",Android,41000,"Htc One X+",1600,2.67,2.54,2.87,,
"one x9",Android,350000,"Htc One X9",6200,2.87,2.74,3.1,,
"one xl",Android,23000,"Htc One XL",1000,0,0,0,,
oneplus,Android,7700000,"Oneplus Devices",150000,4.66,4.66,4.83,,
"oneplus one",Android,810000,"Oneplus OnePlus One",9800,2.57,2.49,2.73,,
oppo,Android,120000000,"Oppo Devices",30000,3.24,2.85,3.73,,
"optimus f60",Android,130000,"Lg Optimus F60",1000,2.49,2.49,2.49,,
"optimus l1 ii",Android,850000,"Lg Optimus L1 II",1000,4.59,4.58,4.76,,
"optimus l3",Android,560000,"Lg Optimus L3",1000,0,0,0,,
"optimus l3 ii",Android,860000,"Lg Optimus L3 II",1000,0,0,0,,
"optimus l4 ii",Android,440000,"Lg Optimus L4 II",2300,1.86,1.86,1.9,,
"optimus l5",Android,1000000,"Lg Optimus L5",10000,2.86,2.86,2.86,,
"optimus l5 dual",Android,1000,"Lg Optimus L5 Dual",1000,0,0,0,,
"optimus l5 ii",Android,600000,"Lg Optimus L5 II",1100,2.64,2.64,2.74,,
"optimus l5 ii dual",Android,84000,"Lg Optimus L5 II Dual",2900,2.94,2.94,2.94,,
"optimus l7",Android,370000,"Lg Optimus L7",3100,4.1,4.1,4.1,,
"optimus l7 ii",Android,450000,"Lg Optimus L7 II",2100,5.18,5.01,5.92,,
"optimus l7 ii dual",Android,1000,"Lg Optimus L7 II Dual",6000,2.49,2.38,2.8,,
"optimus l70",Android,35000,"Lg Optimus L70",1000,0,0,0,,
"optimus l9",Android,270000,"Lg Optimus L9",1000,2.04,1.79,2.41,,
"optimus l9 ii",Android,75000,"Lg Optimus L9 II",1000,0,0,0,,
"optimus l90",Android,310000,"Lg Optimus L90",1000,4.19,4.14,4.45,,
"p smart",Android,1400000,"Huawei P Smart",29000,3.78,3.63,4.15,,
p10,Android,1000,"Huawei P10",32000,2.64,2.32,3.06,,
"p10 lite",Android,7900000,"Huawei P10 Lite",98000,2.08,2,2.28,,
p5l,Android,1400000,"Gionee P5L",1000,0,0,0,,
p5w,Android,1400000,"Gionee P5W",1000,2.05,1.83,2.42,,
p8,Android,1800000,"Huawei P8",5600,2.62,2.29,3.17,,
"p8 lite",Android,17000000,"Huawei P8 Lite",28000,2.49,2.24,2.93,,
p9,Android,1000,"Huawei P9",18000,3.27,2.64,4.15,,
"p9 lite",Android,11000000,"Huawei P9 Lite",79000,3.41,3.3,3.68,,
pixel,Android,1200000,"Google Pixel",2900,4.72,3.79,5.97,,
"pixel 2",Android,1300000,"Google Pixel 2",2100,2.79,2.22,3.51,,
"pixel 2 xl",Android,1200000,"Google Pixel 2 XL",1800,3.3,2.76,4.23,,
"pixel xl",Android,1900000,"Google Pixel XL",2600,3.68,3.52,4.06,,
"plume p6 pro",Android,2400000,"Condor Plume P6 Pro",1000,2.09,1.61,2.73,,
"pocket neo",Android,84000,"Samsung Pocket Neo",1000,0,0,0,,
q10,Android,300000,"Blackberry Q10",1000,4.08,3.31,5.11,,
q6,Android,2200000,"Lg Q6",32000,3.37,3.12,3.81,,
r9s,Android,990000,"Oppo R9s",1000,0,0,0,,
razr,Android,46000,"Motorola RAZR",1000,0,0,0,,
"razr d1",Android,460000,"Motorola Razr D1",1000,0,0,0,,
"razr d3",Android,75000,"Motorola Razr D3",1000,0,0,0,,
"razr hd",Android,38000,"Motorola RAZR HD",1000,0,0,0,,
"razr i",Android,1000,"Motorola RAZR i",1000,0,0,0,,
"redmi 1s",Android,5100000,"Xiaomi Redmi 1S",65000,3.15,3.15,3.19,,
"redmi 2",Android,4800000,"Xiaomi Redmi 2",13000,2.8,2.74,3.04,,
"redmi 3",Android,2700000,"Xiaomi Redmi 3",110000,2.49,2.45,2.63,,
"redmi 3s",Android,9700000,"Xiaomi Redmi 3S",340000,1.92,1.83,2.14,,
"redmi 4",Android,12000000,"Xiaomi Redmi 4",290000,2.98,2.83,3.29,,
"redmi 4a",Android,20000000,"Xiaomi Redmi 4A",410000,3.15,2.93,3.52,,
"redmi 4x",Android,12000000,"Xiaomi Redmi 4X",960000,3.09,3.09,3.09,,
"redmi 5",Android,1400000,"Xiaomi Redmi 5",42000,2.24,2.24,2.39,,
"redmi 5 plus",Android,1400000,"Xiaomi Redmi 5 Plus",100000,3.62,3.62,3.84,,
"redmi 5a",Android,10000000,"Xiaomi Redmi 5A",110000,2.73,2.44,3.07,,
"redmi note",Android,1100000,"Xiaomi Redmi Note",1300,1.92,1.74,2.2,,
"redmi note 2",Android,1000,"Xiaomi Redmi Note 2",54000,3.01,3.01,3.05,,
"redmi note 3",Android,9800000,"Xiaomi Redmi Note 3",320000,1.85,1.85,1.85,,
"redmi note 4",Android,28000000,"Xiaomi Redmi Note 4",900000,2.81,2.68,3.23,,
"redmi note 4g",Android,990000,"Xiaomi Redmi Note 4G",1000,3.24,2.98,3.72,,
"redmi note 4x",Android,1600000,"Xiaomi Redmi Note 4X",88000,3.61,3.49,3.9,,
"redmi note 5",Android,2300000,"Xiaomi Redmi Note 5",1000,3.12,2.81,3.65,,
"redmi note 5 pro",Android,1000,"Xiaomi Redmi Note 5 Pro",1000,0,0,0,,
"redmi note 5a",Android,6600000,"Xiaomi Redmi Note 5A",200000,2.07,2.07,2.07,,
"redmi y1",Android,3000000,"Xiaomi Redmi Y1",1000,0,0,0,,
"redmi y1 lite",Android,1800000,"Xiaomi Redmi Y1 Lite",1000,0,0,0,,
rocstar,Android,1000,"Lenovo RocStar",21000,1.82,1.77,1.93,,
s11,Android,1100000,"Itel S11",1000,0,0,0,,
samsung,Android,1100000000,"Samsung Devices",8800000,1.74,1.74,1.74,,
"series iii l70",Android,1000,"Lg Series III L70",1000,0,0,0,,
sharp,Android,1000,"Sharp Devices",4700,3.49,3.49,3.57,,
smart,Android,1200000,"Infinix Smart",2700,3.58,3.58,3.58,,
"smart kicka",Android,1200000,"Vodafone Smart Kicka",1000,0,0,0,,
"smart max 4.0 plus",Android,840000,"True Smart Max 4.0 Plus",1000,0,0,0,,
"smart mini",Android,1800000,"Vodafone Smart Mini",1000,0,0,0,,
smartfren,Android,5000000,"Smartfren Devices",1000,0,0,0,,
sony,Android,66000000,"Sony Devices",1500000,2.88,2.77,3.09,,
sony_ericsson,Android,1000,"Sony_ericsson Devices",1000,0,0,0,,
"spark k7",Android,2800000,"Tecno Spark K7",1000,2.69,2.16,3.49,,
spirit,Android,2200000,"Lg Spirit",51000,2.18,2.18,2.18,,
spree,Android,1800000,"Lg Spree",1000,0,0,0,,
"stylo 2",Android,1100000,"Lg Stylo 2",1000,0,0,0,,
"stylo 2 plus",Android,970000,"Lg Stylo 2 Plus",1000,0,0,0,,
"stylo 3",Android,1700000,"Lg Stylo 3",1000,0,0,0,,
"stylo 3 plus",Android,1600000,"Lg Stylo 3 Plus",1000,0,0,0,,
"stylus 3",Android,920000,"Lg Stylus 3",1900,2.63,2.38,3.13,,
"tab 2 a7-30",Android,1800000,"Lenovo Tab 2 A7-30",51000,3.44,3.3,3.7,,
"tab3 7",Android,1600000,"Lenovo Tab3 7",38000,3.11,2.92,3.4,,
tecno,Android,29000000,"Tecno Devices",12000,2.98,2.7,3.53,,
"transformer pad",Android,1000,"Asus Transformer Pad",19000,2.2,2.12,2.36,,
"tribute 5",Android,1700000,"Lg Tribute 5",1000,0,0,0,,
true,Android,2700000,"True Devices",1000,0,0,0,,
"u ultra",Android,310000,"Htc U Ultra",1800,3.44,2.91,4.26,,
u5,Android,1900000,"Alcatel U5",29000,1.99,1.97,2.15,,
"unite 2",Android,900000,"Micromax Unite 2",1100,4.13,4.04,4.55,,
"unite 3",Android,450000,"Micromax Unite 3",1000,0,0,0,,
v10,Android,990000,"Lg V10",1500,2.61,2.23,3.1,,
v20,Android,2100000,"Lg V20",1700,3.03,2.68,3.56,,
v3,Android,1800000,"Vivo V3",1200,2.39,1.96,3.25,,
v5,Android,4600000,"Vivo V5",1000,1.96,1.58,2.47,,
v5s,Android,1000,"Vivo V5s",1000,2.56,2.02,3.44,,
v7,Android,2800000,"Vivo V7",1200,2.33,2.08,2.74,,
v7+,Android,2900000,"Vivo V7+",1000,3.68,2.89,5.18,,
v9,Android,980000,"Vivo V9",1000,0,0,0,,
"vibe b",Android,2500000,"Lenovo Vibe B",54000,2.23,2.23,2.28,,
"vibe c",Android,2100000,"Lenovo Vibe C",38000,3.39,3.2,3.76,,
"vibe c2",Android,2000000,"Lenovo Vibe C2",26000,3.36,3.36,3.36,,
"vibe k4 note",Android,2200000,"Lenovo Vibe K4 Note",5800,3.62,3.26,4.09,,
"vibe k5",Android,4000000,"Lenovo Vibe K5",34000,2.82,2.72,3.02,,
"vibe k5 note",Android,2000000,"Lenovo Vibe K5 Note",2300,2.43,2,3.1,,
"vibe k5 plus",Android,1800000,"Lenovo Vibe K5 Plus",22000,2.54,2.44,2.75,,
"vibe k6",Android,830000,"Lenovo Vibe K6",1000,3.65,3.61,3.9,,
"vibe p1m",Android,2000000,"Lenovo Vibe P1m",85000,1.86,1.86,1.86,,
vivo,Android,69000000,"Vivo Devices",13000,2.2,1.8,2.84,,
"vivo 1603",Android,1700,"Vivo vivo 1603",1000,0,0,0,,
vodafone,Android,9000000,"Vodafone Devices",2900,0,0,0,,
volt,Android,170000,"Lg Volt",1000,3.75,3.75,3.75,,
w2,Android,1500000,"Tecno W2",1000,0,0,0,,
w3,Android,2500000,"Tecno W3",1000,2.83,2.36,3.57,,
w4,Android,1000,"Tecno W4",1000,3.51,3.1,4.21,,
wiko,Android,13000000,"Wiko Devices",7500,3.26,3.04,3.51,,
wx3,Android,1700000,"Tecno WX3",1000,0,0,0,,
"x power",Android,1000,"Lg X Power",110000,2.61,2.53,2.89,,
"x power 2",Android,1300000,"Lg X Power 2",17000,3.73,3.39,4.33,,
"x style",Android,3100000,"Lg X Style",14000,2.24,2.2,2.41,,
x230,Android,4500000,"Lg X230",21000,3.39,3.38,3.51,,
xiaomi,Android,140000000,"Xiaomi Devices",4100000,1.72,1.67,1.81,,
"xperia arc s",Android,170000,"Sony_ericsson Xperia Arc S",1000,2.94,2.53,3.48,,
"xperia c",Android,820000,"Sony Xperia C",24000,1.56,1.56,1.6,,
"xperia c3 dual",Android,1100000,"Sony Xperia C3 Dual",20000,1.91,1.89,2.09,,
"xperia c4",Android,330000,"Sony Xperia C4",31000,4.24,4.24,4.36,,
"xperia c4 dual",Android,460000,"Sony Xperia C4 Dual",6600,2.89,2.72,3.29,,
"xperia c5 ultra",Android,400000,"Sony Xperia C5 Ultra",1000,0,0,0,,
"xperia c5 ultra dual",Android,490000,"Sony Xperia C5 Ultra Dual",16000,3.96,3.59,4.49,,
"xperia e",Android,480000,"Sony Xperia E",2300,6.33,6.01,6.88,,
"xperia e dual",Android,1000,"Sony Xperia E Dual",2000,1.24,1.21,1.32,,
"xperia e1",Android,690000,"Sony Xperia E1",3800,2.56,2.56,2.56,,
"xperia e1 dual",Android,380000,"Sony Xperia E1 Dual",3300,3.85,3.85,3.85,,
"xperia e3",Android,530000,"Sony Xperia E3",11000,3.85,3.85,3.9,,
"xperia e3 dual",Android,390000,"Sony Xperia E3 Dual",8400,2.57,2.41,2.81,,
"xperia e4",Android,1600000,"Sony Xperia E4",20000,2.23,2.23,2.27,,
"xperia e4g",Android,490000,"Sony Xperia E4g",5100,2.63,2.51,2.93,,
"xperia e4g dual",Android,85000,"Sony Xperia E4g Dual",5800,2.07,2.02,2.22,,
"xperia e5",Android,2100000,"Sony Xperia E5",100000,3.54,3.54,3.54,,
"xperia j",Android,290000,"Sony Xperia J",4900,3.17,2.99,3.52,,
"xperia l",Android,820000,"Sony Xperia L",13000,2.49,2.29,2.75,,
"xperia l1",Android,1700000,"Sony Xperia L1",1000,0,0,0,,
"xperia m",Android,1100000,"Sony Xperia M",18000,3.32,2.92,3.97,,
"xperia m2",Android,2500000,"Sony Xperia M2",58000,2.13,2.1,2.29,,
"xperia m2 aqua",Android,500000,"Sony Xperia M2 Aqua",13000,2.47,2.47,2.57,,
"xperia m4 aqua",Android,2800000,"Sony Xperia M4 Aqua",43000,3.65,3.57,3.9,,
"xperia m5",Android,760000,"Sony Xperia M5",14000,2.36,2.29,2.56,,
"xperia m5 dual",Android,320000,"Sony Xperia M5 Dual",17000,2.55,2.51,2.62,,
"xperia mini",Android,25000,"Sony Xperia Mini",1000,0,0,0,,
"xperia miro",Android,1000,"Sony Xperia Miro",1500,4.04,4.04,4.1,,
"xperia p",Android,170000,"Sony Xperia P",5400,1.89,1.89,1.89,,
"xperia s",Android,290000,"Sony Xperia S",6700,2.34,2.24,2.5,,
"xperia sp",Android,590000,"Sony Xperia SP",16000,3.3,3.04,3.77,,
"xperia tipo",Android,94000,"Sony Xperia Tipo",1000,2.93,2.8,3.15,,
"xperia tipo dual",Android,27000,"Sony Xperia Tipo Dual",1000,0,0,0,,
"xperia u",Android,1000,"Sony Xperia U",1000,2.46,2.46,2.46,,
"xperia ul",Android,1000,"Sony Xperia UL",1000,0,0,0,,
"xperia x",Android,1200000,"Sony Xperia X",34000,2.93,2.66,3.33,,
"xperia x compact",Android,1400000,"Sony Xperia X Compact",13000,3.04,2.75,3.61,,
"xperia x performance",Android,1300000,"Sony Xperia X Performance",11000,2.64,2.43,3.01,,
"xperia xa",Android,3700000,"Sony Xperia XA",140000,3.18,2.84,3.93,,
"xperia xa ultra",Android,1700000,"Sony Xperia XA Ultra",28000,2.97,2.97,3.1,,
"xperia xa1",Android,1000,"Sony Xperia XA1",73000,2.54,2.54,2.55,,
"xperia xa1 ultra",Android,1200000,"Sony Xperia XA1 Ultra",15000,3.17,2.93,3.59,,
"xperia xz",Android,3300000,"Sony Xperia XZ",13000,3.55,2.98,4.51,,
"xperia xz premium",Android,1200000,"Sony Xperia XZ Premium",8300,2.62,2.21,3.38,,
"xperia z",Android,1400000,"Sony Xperia Z",50000,2.2,2.14,2.28,,
"xperia z ultra",Android,400000,"Sony Xperia Z Ultra",9600,2.28,2.18,2.45,,
"xperia z1",Android,2100000,"Sony Xperia Z1",59000,2.97,2.66,3.44,,
"xperia z1 compact",Android,850000,"Sony Xperia Z1 Compact",51000,2.36,2.1,2.71,,
"xperia z1 f",Android,110000,"Sony Xperia Z1 f",1000,0,0,0,,
"xperia z1s",Android,1000,"Sony Xperia Z1s",1000,0,0,0,,
"xperia z2",Android,2700000,"Sony Xperia Z2",67000,3.63,3.6,4.1,,
"xperia z2 tablet",Android,420000,"Sony Xperia Z2 Tablet",24000,2.32,2.09,2.66,,
"xperia z2a",Android,12000,"Sony Xperia Z2a",1000,0,0,0,,
"xperia z3",Android,3200000,"Sony Xperia Z3",60000,2.81,2.56,3.22,,
"xperia z3 compact",Android,1800000,"Sony Xperia Z3 Compact",75000,2.83,2.71,3.13,,
"xperia z3 dual",Android,15000,"Sony Xperia Z3 Dual",1000,2.34,2.03,2.72,,
"xperia z3+",Android,350000,"Sony Xperia Z3+",4300,3.1,2.83,3.55,,
"xperia z3v",Android,57000,"Sony Xperia Z3v",1000,0,0,0,,
"xperia z5",Android,2600000,"Sony Xperia Z5",11000,2.35,2.14,2.7,,
"xperia z5 compact",Android,1500000,"Sony Xperia Z5 Compact",31000,3.37,3.17,3.75,,
"xperia z5 premium",Android,880000,"Sony Xperia Z5 Premium",8400,2.74,2.44,3.24,,
y15,Android,950000,"Vivo Y15",1000,0,0,0,,
y2,Android,2800000,"Tecno Y2",1000,0,0,0,,
y21,Android,2300000,"Vivo Y21",1000,2.84,2.84,2.84,,
y21l,Android,5200000,"Vivo Y21L",1000,2.16,1.71,2.78,,
"y3 (2017)",Android,4500000,"Huawei Y3 (2017)",100000,3.2,3.2,3.2,,
"y3 ii",Android,9800000,"Huawei Y3 II",52000,2.17,2.17,2.17,,
y360,Android,1600000,"Huawei Y360",1000,0,0,0,,
"y5 2017",Android,4900000,"Huawei Y5 2017",59000,2.97,2.97,2.97,,
"y5 ii",Android,11000000,"Huawei Y5 II",100000,2.76,2.76,2.76,,
y51,Android,1500000,"Vivo Y51",1000,0,0,0,,
y51l,Android,4100000,"Vivo Y51L",1000,0,0,0,,
y53,Android,16000000,"Vivo Y53",2200,2.88,2.62,3.24,,
y55l,Android,3200000,"Vivo Y55L",1000,2.17,1.71,2.87,,
y55s,Android,7300000,"Vivo Y55S",1400,2.4,1.83,3.24,,
y6,Android,4700000,"Huawei Y6",9300,1.51,1.43,1.67,,
"y6 ii",Android,9000000,"Huawei Y6 II",17000,2.43,2.13,2.98,,
"y6 pro",Android,2800000,"Huawei Y6 Pro",2800,1.45,1.3,1.74,,
"y6 pro (2017)",Android,1400000,"Huawei Y6 Pro (2017)",29000,3.7,3.52,4.04,,
y66,Android,2800000,"Vivo Y66",1000,1.92,1.62,2.39,,
y69,Android,3900000,"Vivo Y69",1000,2.14,1.71,2.82,,
y7,Android,2300000,"Huawei Y7",19000,3.37,3.37,3.37,,
"y7 prime",Android,1800000,"Huawei Y7 Prime",1000,1.92,1.58,2.43,,
z10,Android,480000,"Blackberry Z10",1000,2.5,2.16,3.15,,
z60,Android,1500000,"Lava Z60",1000,2.6,2.6,2.69,,
"zenfone 2",Android,590000,"Asus ZenFone 2",5800,2.98,2.57,3.73,,
"zenfone 2 deluxe",Android,1000,"Asus ZenFone 2 Deluxe",59000,2.18,1.99,2.43,,
"zenfone 2 laser",Android,5100000,"Asus ZenFone 2 Laser",200000,2.42,2.37,2.61,,
"zenfone 3",Android,2200000,"Asus ZenFone 3",35000,4.5,4.31,4.96,,
"zenfone 3 max",Android,3500000,"Asus ZenFone 3 Max",130000,2.87,2.87,2.91,,
"zenfone 4",Android,1000,"Asus ZenFone 4",17000,3.06,3.05,3.27,,
"zenfone 4 max",Android,1300000,"Asus ZenFone 4 Max",46000,4.64,4.51,5.15,,
"zenfone 5",Android,4100000,"Asus ZenFone 5",51000,2.03,1.82,2.36,,
"zenfone 6",Android,660000,"Asus ZenFone 6",9700,3.6,3.48,3.94,,
"zenfone c",Android,2600000,"Asus ZenFone C",9600,1.68,1.55,1.94,,
"zenfone go",Android,5100000,"Asus ZenFone Go",96000,2,2,2.04,,
"zenfone go 4.5",Android,3500000,"Asus ZenFone Go 4.5",46000,1.94,1.94,1.95,,
"zenfone go tv",Android,1200000,"Asus ZenFone Go TV",1000,2.25,1.94,2.83,,
"zenfone laser 2",Android,1000,"Asus ZenFone Laser 2",1000,0,0,0,,
"zenfone max",Android,2600000,"Asus ZenFone Max",33000,3.9,3.51,4.49,,
"zenfone selfie",Android,1500000,"Asus ZenFone Selfie",38000,4.18,4.18,4.18,,
"zmax pro",Android,1900000,"Zte Zmax Pro",1000,0,0,0,,
zone,Android,680000,"Lg Zone",1000,0,0,0,,
zte,Android,38000000,"Zte Devices",1100000,2.16,2.16,2.17,,
